paper_id,doi,title,year,venue,licence,n_chars
performance-analysis-of-short-packets-in-noma-vlc-systems,10.1109/access.2022.3141865,Performance Analysis of Short Packets in NOMA VLC Systems,2022,IEEE Access,CC-BY-4.0,36510
performance-evaluation-of-short-packet-communications-in-noma-vlc-systems-with-imperfect-csi,10.1109/access.2022.3173754,Performance Evaluation of Short Packet Communications in NOMA VLC Systems With Imperfect CSI,2022,IEEE Access,CC-BY-4.0,38696
photonics-10-01117,10.3390/photonics10101117,On the Performance of Intelligent Reconfigurable Surfaces for 6G Indoor Visible Light Communications Systems,2023,Photonics,CC-BY-4.0,33137
photonics-11-00856,10.3390/photonics11090856,Performance Evaluation of Non-Lambertian SLIPT for 6G Visible Light Communication Systems,2024,Photonics,CC-BY-4.0,40046
photonics-12-00649,10.3390/photonics12070649,Evaluating MIMO-VLC System Performance: Modulation Techniques and Ambient Light Interference Effects,2025,Photonics,CC-BY-4.0,39841
photonics-13-00569,10.3390/photonics13060569,Risk-Aware Illumination-Constrained Resource Allocation for Hybrid VLC/RF Indoor Networks Under Random Optical Blockage,2026,Photonics,CC-BY-4.0,73680
photonics-13-00718,10.3390/photonics13080718,Resource Allocation and Performance Optimization for IRS-Assisted Aggregated VLC–RF Vehicular Networks,2026,Photonics,CC-BY-4.0,55819
reconfigurable-intelligent-surfaces-architectures-for-visible-light-communication-metasurfaces-mirrors-liquid-crystals-and-simultaneous-transmission-and-reflection-topical-review,10.1109/access.2026.3702825,"Reconfigurable Intelligent Surfaces Architectures for Visible Light Communication: Metasurfaces, Mirrors, Liquid Crystals, and Simultaneous Transmission and Reflection: Topical Review",2026,IEEE Access,CC-BY-4.0,116281
sensors-18-01127,10.3390/s18041127,Efficient Visible Light Communication Transmitters Based on Switching-Mode dc-dc Converters,2018,Sensors,CC-BY-4.0,33182
sensors-20-02261-v2,10.3390/s20082261,Underwater Optical Wireless Communications: Overview,2020,Sensors,CC-BY-4.0,28503
sensors-20-06869-v2,10.3390/s20236869,"Utilization of an OLED-Based VLC System in Office, Corridor, and Semi-Open Corridor Environments",2020,Sensors,CC-BY-4.0,32128
sensors-21-00861-v2,10.3390/s21030861,Lights and Shadows: A Comprehensive Survey on Cooperative and Precoding Schemes to Overcome LOS Blockage and Interference in Indoor VLC,2021,Sensors,CC-BY-4.0,88451
sensors-22-02483,10.3390/s22072483,An Enhanced VLC Channel Model for Underground Mining Environments Considering a 3D Dust Particle Distribution Model,2022,Sensors,CC-BY-4.0,44751
sensors-22-05405,10.3390/s22145405,Machine Learning for Intelligent-Reflecting-Surface-Based Wireless Communication towards 6G: A Review,2022,Sensors,CC-BY-4.0,42205
sensors-22-05436,10.3390/s22145436,Indoor MIMO-VLC Using Angle Diversity Transmitters,2022,Sensors,CC-BY-4.0,21911
sensors-23-07545-v2,10.3390/s23177545,"A Review of Hybrid VLC/RF Networks: Features, Applications, and Future Directions",2023,Sensors,CC-BY-4.0,75462
solar-03-00011,10.3390/solar3010011,Doing More with Ambient Light: Harvesting Indoor Energy and Data Using Emerging Solar Cells,2023,Solar,CC-BY-4.0,68169
visible-light-communications-via-intelligent-reflecting-surfaces-metasurfaces-vs-mirror-arrays,10.1109/ojcoms.2020.3041930,Visible Light Communications via Intelligent Reflecting Surfaces: Metasurfaces vs Mirror Arrays,2021,IEEE Open Journal of the Communications Society,CC-BY-4.0,55857
